Unnamed: 0,WEBJRGA,辞書データ
8,ああだこうだ,「ああだこうだ」
9,あい,合い
10,あい,相
11,あい,あい
12,あい,藍
14,あいあいがさ,相合い傘
15,あいいれない,相いれない
16,あいうち,相打ち
19,あいえんきえん,愛縁機縁
21,あいおい,相生い
22,あいかた,合方
23,あいかた,相方
24,あいがも,アイガモ／合い鴨
25,あいがん,愛玩
26,あいぎ,合着
27,あいきょう,愛嬌
28,あいきょうげん,あい狂言
29,あいくち,あいくち
30,あいくるしい,愛くるしい
31,あいこ,相こ
32,あいことば,合言葉
33,あいごま,合駒
34,あいさつ,挨拶
35,あいしょう,相性
36,あいしょう,愛妾
37,あいず,合図
38,あいせき,哀惜
39,あいせき,愛惜
40,あいそう,愛想
41,あいぞめ,藍染め
42,あいだ,間
43,あいたん,相担
44,あいつぐ,相次ぐ
45,あいづち,相づち
46,あいであ,アイデア
47,あいてかた,相手方
48,あいとう,哀悼
49,あいなか,相中
50,あいにく,あいにく
51,あいのて,合いの手
52,あいのり,相乗り
54,あいびき,あいびき
55,あいびき,合いびき
56,あいぶ,愛撫
57,あいふぉん,アイフォン
58,あいふく,合服
59,あいふだ,合札
60,あいべつりく,愛別離苦
61,あいまい,曖昧
62,あいまって,相まって
63,あいみたがい,相身互い
64,あいみつもり,相見積もり
65,あいろ,隘路（あいろ）
66,あう,合う
67,あう,会う
68,あう,遭う
70,あうん,あうん
71,あえて,あえて
72,あえる,あえる
73,あお,青色
74,あおい,アオイ
75,おおぐ,仰ぐ
76,あおぐ,あおぐ
77,あおくさい,青くさい
78,あおたがい,青田買い
79,あおむけ,あおむけ
80,あおる,あおる
81,あか,あか
82,あか,赤色
83,あかあか,赤々
84,あかあか,明々
85,あかがね,あかがね
86,あがく,あがく
87,あかし,証し
88,あかす,明かす
89,あかす,飽かす
90,あかつき,暁
91,あかね,アカネ
92,あかまる,赤丸
93,あかみ,赤身
94,あかみ,赤み
95,あがめる,あがめる
96,あからさま,あからさま
97,あからむ,赤らむ
98,あからむ,明らむ
99,あかり,明かり
100,あがりきる,上がりきる
101,あがる,あがる
102,あがる,あがる
103,あがる,上がる
104,あがる,挙がる
105,あがる,揚がる
106,あかるみ,明るみ
107,あき,あき
108,あきあきする,飽き飽きする
109,あきのななくさ,秋の七草
110,あきふゆ,秋・冬
111,あきふゆもの,秋冬物
112,あきや,空き家
113,あきらめる,諦める
114,あきれすけん,アキレスけん
115,あきれる,あきれる
116,あきんど,あきんど
117,あく,あく
122,あくぎょう,悪行
123,あくごう,悪業
124,あくじき,悪食
125,あくじせんり,悪事千里
126,あくせんくとう,悪戦苦闘
127,あくたい,悪態
128,あくたれる,悪たれる
129,あくどい,あくどい
130,あくにんしょうき,悪人正機
131,あくば,悪罵
132,あくはつとほ,握髪吐哺
133,あくび,あくび
134,あくふはか,悪婦破家
135,あくぼくとうせん,悪木盗泉
136,あくまで,あくまで
137,あくまばらい,悪魔払い
138,あぐら,あぐら
139,あくらつ,悪辣（あくらつ）
140,あくる,明くる
141,あげあしとり,揚げ足取り
142,あげおろし,揚げ降ろし
143,あげおろし,上げ下ろし
144,あげく,揚げ句
145,あけすけ,あけすけ
146,あげぜんすえぜん,上げ膳据え膳
147,あけっぱなし,開けっ放し
148,あけっぴろげ,開けっ広げ
149,あげまく,揚げ幕
150,あける,空ける
151,あげる,あげる
152,あげる,上げる
153,あげんすと,アゲンスト
154,あご,顎
156,あごあしつき,顎足付き
157,あこがれ,憧れ
158,あこぎ,あこぎ
159,あさ,アサ／麻
160,あざ,あざ
161,あさいち,朝一
162,あさがお,アサガオ／朝顔
163,あさがた,朝方
164,あさぎ,あさぎ
165,あさぎ,あさぎ
166,あさぎ,浅黄
167,あざける,あざける
168,あさって,あさって
169,あさはか,浅はか
170,あさひるばん,朝・昼・晩
171,あさましい,浅ましい
172,あさる,あさる
173,あざわらう,あざ笑う
174,あし,足
175,あし,脚
176,あし,アシ
177,あじあたいへいようかいぎ,アジア・太平洋会議
178,あしかけ,足かけ
179,あしかけ,足掛け
180,あしがつく,足が付く
181,あしからず,あしからず
182,あしき,あしき
183,あしげ,足蹴
184,あしざま,あしざま
185,あししげく,足しげく
186,あした,明日
187,あしでまとい,足手まとい
188,あしまめ,足まめ
189,あしもと,足元
190,あじゃり,阿闍梨（あじゃり）
191,あしゅらどう,阿修羅道
192,あしわざ,足技
193,あしわざ,足業
194,あじをしめる,味を占める
195,あしをつく,足をつく
196,あしをのばす,足を延ばす
197,あす,明日
198,あずかる,預かる
199,あずかる,あずかる
200,あずき,アズキ／小豆
201,あずけいれ,預け入れ
202,あずけいれ,預入
203,あずけがえ,預け替え
204,あすたりすく,「＊」
205,あずま,あずま
206,あずまあそび,あずま遊び
207,あずまや,あずまや
208,あぜ,あぜ
209,あせも,あせも
210,あせる,焦る
211,あせる,あせる
212,あぜん,あぜん
213,あだ,あだ
214,あたい,価
215,あたい,値
216,あたたかい,温かい
217,あたたかい,暖かい
218,あだな,あだ名
219,あたまがきんきんする,頭がきんきんする
220,あたまごなし,頭ごなし
221,あたまにくる,頭にくる
222,あたまをひねる,頭をひねる
224,あたる,当たる
225,あたる,あたる
226,あたる,あたる
227,あたる,あたる
228,あたる,あたる
230,あつい,暑い
231,あつい,熱い
232,あつい,厚い
233,あつい,あつい
234,あつかましい,厚かましい
235,あっけ,あっけ
236,あっこうぞうごん,悪口雑言
237,あっせい,圧制
238,あっせい,圧政
239,あっせん,斡旋
240,あっというまに,あっという間に
241,あっとこえがでて,「あっ」と声が出て
243,あっぱれ,あっぱれ
244,あっぷあっぷ,あっぷあっぷ
245,あつみ,厚み
246,あつもの,あつもの
247,あつらえる,あつらえる
248,あつれき,あつれき
250,あて,宛て
251,あてうま,当て馬
252,あてがう,あてがう
253,あてしょく,充て職
254,あてど,あてど
255,あてな,宛名
256,あてにする,当てにする
257,あてはまる,当てはまる
258,あてもなく,当てもなく
259,あてる,宛てる
260,あてる,充てる
261,あてる,当てる
262,あと,あと
266,あと,後
267,あと,後
268,あと,跡
269,あと,痕
270,あとあし,後脚
271,あとあし,後足
272,あとあと,後々
273,あとかたがない,跡形がない
274,あとがない,後がない
275,あとから,あとから
276,あとがま,後釜
277,あとけい,後計
278,あとしまつ,後始末
279,あとだし,後出し
280,あとつぎ,後継ぎ
281,あとつぎ,跡継ぎ
282,あとづけ,後付け
283,あととり,後取り
284,あととり,跡取り
285,あどぼけいと,アドボケイト
286,あとをつける,後をつける
287,あとをつける,跡をつける
288,あな,ＡＮＡ
289,あながあく,穴があく
290,あながあく,穴が空く
291,あながち,あながち
292,あなぐま,アナグマ
293,あなぐま,穴熊
294,あなご,アナゴ／穴子
295,あなた,あなた
296,あなどる,侮る
298,あばく,暴く
299,あばた,あばた
300,あはは,アハハ
301,あびきょうかん,阿鼻叫喚
302,あぶ,アブ
304,あぶく,あぶく
305,あぶなげない,危なげない
306,あぶなっかすぎる,危なっかすぎる
307,あぶら,油
308,あぶら,脂
309,あぶらじみた,油じみた
310,あぶらをしぼる,油を絞る
311,あぶらをしぼる,油を搾る
313,あふれる,あふれる
314,あぶる,あぶる
315,あへん,アヘン
316,あほう,あほう
317,あほうどり,アホウドリ
318,あま,海女
320,あま,天
321,あまあし,雨脚
322,あまごい,雨乞い
323,あまた,あまた
324,あまったれ,あまったれ
325,あまったれる,甘ったれる
326,あまどい,雨どい
327,あまのがわ,天の川
328,あまのじゃく,あまのじゃく
329,あまみ,甘み
331,あまり,余り
332,あまりに,あまりに
333,あみだ,あみだ
334,あみだ,阿弥陀
335,あむねすてぃ,アムネスティ
336,あめ,あめ
337,あめっくす,ＡＭＥＸ
338,あめとむち,アメとムチ
340,あや,あや
341,あやうい,危うい
342,あやしい,怪しい
343,あやしい,妖しい
344,あやっこ,綾（あや）っ子
345,あやつりにんぎょう,操り人形
346,あやなす,あやなす
347,あやまって,過って
348,あやまる,誤る
349,あやまる,謝る
350,あやめる,あやめる
351,あゆついしょう,阿諛追従
352,あゆみだす,歩みだす
353,あらあら,粗々
354,あらあらしい,荒々しい
355,あらい,荒い
356,あらい,粗い
357,あらいざらい,洗いざらい
358,あらおこし,粗起こし
359,あらがう,あらがう
360,あらかじめ,あらかじめ
361,あらかた,あらかた
362,あらけずり,粗削り
363,あらけずり,荒削り
364,あらさがし,あら探し
365,あらし,嵐
366,あらず,あらず
367,あらすじ,粗筋
368,あらたか,あらたか
369,あらたに,新たに
370,あらためて,あらためて
371,あらためて,改めて
372,あらっぽくいうと,荒っぽく言うと
373,あらて,新手
374,あらまき,新巻き
375,あらやしき,阿頼耶識（あらやしき）
376,あららげる,荒らげる
377,あられ,あられ
378,あらわ,あらわ
379,あらわざ,荒技
380,あらわざ,荒業
381,あらわす,表す
382,あらわす,現す
383,あらわす,著す
384,あらわれる,表れる
385,あらわれる,現れる
386,あり,「あり」
387,ありあまる,あり余る
388,ありあり,ありあり
389,ありえない,あり得ない
390,ありか,在りか
391,ありかた,在り方
392,ありがたい,ありがたい
393,ありがたい,あり難い
394,ありがとう,ありがとう
395,ありがね,有り金
396,ありきたり,ありきたり
397,ありさま,有り様
398,ありじごく,アリジゴク
399,ありじごく,あり地獄
400,ありすぎる,あり過ぎる
401,ありだか,有り高
402,ありったけ,ありったけ
403,ありてい,ありてい
404,ありとあらゆる,ありとあらゆる
405,ありなし,「あり・なし」
406,ありのまま,ありのまま
407,ありふれた,ありふれた
408,ありよう,有りよう
409,ある,ある
410,あるある,「あるある」
411,あるいていく,歩いていく
412,あるいていける,歩いていける
413,あるいは,あるいは
414,あるかないか,あるかないか
415,あるじ,あるじ
416,あるとき,あるとき
417,あるところ,ある所
418,あるない,「ある・ない」
423,あわ,アワ
424,あわ,泡
425,あわい,淡い
426,あわせうま,併せ馬
427,あわせかがみ,合わせ鏡
428,あわせる,合わせる
429,あわせる,併せる
430,あわせて,併せて
431,あわただしい,慌ただしい
432,あわもり,泡盛
433,あわや,あわや
434,あわゆき,淡雪
435,あわゆき,泡雪
436,あわれ,哀れ
437,あん,庵
438,あんあんり,暗々裏
439,あんえい,暗影
440,あんか,あんか
441,あんがい,案外
442,あんかれじ,アンカレジ
443,あんぎお,アンギオ
444,あんぎゃ,行脚
448,あんじょ,晏如
449,あんしょう,暗唱
450,あんしょう,暗礁
451,あんじょう,あんじょう
452,あんじょう,鞍上
453,あんしんりつめい,安心立命
454,あんぜん,晏然
455,あんたくせいろ,安宅正路
456,あんたん,暗たん
457,あんちゅうひやく,暗中飛躍
458,あんど,安堵
459,～あんど～,～・アンド・～
462,あんどん,あんどん
463,あんに,暗に
464,あんのじょう,案の定
465,あんのん,安穏
466,あんば,あん馬
467,あんばい,案配
468,あんばい,あんばい
469,あんぱん,あんパン
470,あんぶ,鞍部
471,あんぶん,案分
472,あんま,あんま
473,あんや,暗夜
474,あんらくじょうど,安楽浄土
483,いい,いい
484,いいかえる,言い換える
485,いいがかり,言い掛かり
486,いいかける,言いかける
487,いいかげん,いいかげん
488,いいがたい,言い難い
489,いいきる,言い切る
490,いいぐさ,言い草
491,いいだくだく,唯々諾々
492,いいだしっぺ,言い出しっぺ
493,いいだす,言い出す
494,いいつける,言い付ける
495,いいなずけ,いいなずけ
496,いいふるす,言い古す
497,いいぶん,言い分
499,いいわけ,言い訳
500,いいわるい,いい・悪い
501,いう,言う
503,いうなれば,言うなれば
508,いえすという,「イエス」と言う
511,いえる,癒える
513,いおう,硫黄
514,いおり,いおり
515,いがい,以外
516,いがい,意外
517,いがい,遺骸
518,いかいよう,胃潰瘍
519,いかが,いかが
520,いかく,威嚇
521,いかしきる,生かしきる
522,いかす,生かす
523,いかだ,いかだ
524,いかにも,いかにも
525,いかめしい,いかめしい
526,いかり,いかり
527,いかん,いかん
528,いかん,偉観
529,いかん,異観
530,いがん,胃がん
531,いかんなく,遺憾なく
532,いき,イキ
533,いき,生き
534,いき,粋
535,いき,閾
536,いき,息
537,いき,意気
538,いぎ,意義
539,いぎ,異義
540,いぎ,異議
541,いきあう,行き合う
542,いきいき,生き生き
543,いきおい,いきおい
544,いきおい,勢い
545,いきじ,意気地
546,いきち,閾値
547,いきがい,生きがい
548,いきがかかる,息が掛かる
549,いきがけ,行きがけ
550,いきぎも,生き肝
551,いきけんこう,意気軒高
552,いきさつ,いきさつ
553,いきざま,生き様
554,いきじ,意気地
555,いきしょうちん,意気消沈
556,いきしょうてん,意気衝天
557,いきずり,行きずり
558,いきづかい,息遣い
559,いきつぎ,息継ぎ
560,いきつく,行き着く
561,いきづく,息づく
562,いきつけ,行きつけ
563,いきとうごう,意気投合
564,いきながらえる,生き永らえる
565,いぎなし,「異議なし」
566,いきのね,息の根
567,いきぼとけ,生き仏
568,いきまく,息巻く
569,いきもの,生き物
570,いきょう,異郷
571,いきょう,異境
572,いぎょう,偉業
573,いぎょう,遺業
574,いきようよう,意気揚々
575,いきわたる,行きわたる
576,いきんかんきょう,衣錦還郷
577,いく,行く
578,いく,行く
579,いく,いく
580,いく,いく
583,いくいかない,行く行かない
584,いくえ,幾重
586,いくさ,戦
587,いぐさ,イグサ
588,いくじ,意気地
589,いくた,幾多
590,いくたび,いくたび
591,いくたり,いくたり
592,いくつ,幾つ
593,いくど,幾度
594,いくどうおん,異口同音
595,いくところ,行く所
596,いくとせ,幾とせ
597,いくにん,幾人
598,いくばく,いくばく
599,いくひさしく,幾久しく
600,いくぶん,幾分
601,いくぼす,イクボス
602,いくら,いくら
603,いくら,幾ら
604,いくん,遺訓
605,いくん,偉勲
606,いくん,遺勲
607,いけい,畏敬
608,いけいけ,行け行け
609,いけうお,活け魚
610,いけす,いけす
611,いけにえ,いけにえ
612,いけどり,生け捕り
613,いける,生ける
614,いける,いける
615,いける,いける
616,いけん,異見
617,いけん,意見
619,いこう,偉功
620,いこう,遺功
621,いごこち,居心地
622,いこじ,意固地
623,いざ,依座
624,いさい,委細
625,いさぎよい,潔い
626,いささか,いささか
627,いざなう,いざなう
628,いさめる,いさめる
629,いざよい,十六夜（いざよい）
630,いさりび,いさり火
631,いし,意思
632,いし,意志
633,いし,遺志
634,いし,縊死（いし）
635,いし,頤使（いし）
636,いし,移徙（いし）
637,いしけってい,意思決定
638,いしづくり,石造り
639,いじっぱり,意地っ張り
640,いしぶみ,いしぶみ
641,いじめる,いじめる
642,いしゃりょう,慰謝料
643,いしゅう,蝟集（いしゅう）
644,いしゅがえし,意趣返し
645,いしゅく,萎縮
646,いしゅく,畏縮
647,いしょう,衣装
648,いしょう,意匠
649,いしょう,囲障
650,いじょう,囲繞
651,いじょう,委譲
652,いじょう,移譲
653,いじょう,異常
654,いじょう,異状
655,いしょうさんたん,意匠惨憺
656,いしょく,委嘱
657,いしょくどうげん,医食同源
658,いしんでんしん,以心伝心
659,いす,椅子
660,いずこ,いずこ
661,いずる,いずる
662,いずれ,いずれ
663,いすわり,居座り
664,いぜき,井堰
665,いぜん,依然
666,いぜんけい,已然（いぜん）形
667,いそ,磯
668,いそうろう,居候
669,いそしむ,いそしむ
670,いそづり,磯釣り
671,いそべん,イソ弁
672,いたいけ,いたいけ
673,いたく,いたく
674,いたく,委託
675,いたけだか,居丈高
676,いたしかたない,致し方ない
677,いたす,致す
678,いだす,いだす
679,いたずら,いたずら
680,いたずらに,いたずらに
681,いただき,頂
682,いただきもの,頂き物
683,いただく,頂く
684,いただく,頂く
685,いただく,いただく
686,いただく,いただく
688,いただけない,いただけない
689,いたちごっこ,いたちごっこ
690,いたって,至って
691,いだてん,いだてん
692,いたにつく,板につく
693,いたばさみ,板挟み
694,いたむ,悼む
695,いたむ,痛む
696,いたむ,傷む
697,いためつける,痛め付ける
698,いためつける,傷め付ける
699,いためる,炒める
700,いたるところ,至る所
701,いたれりつくせり,至れり尽くせり
702,いたわる,いたわる
703,いたんじゃせつ,異端邪説
707,いちい,一意
708,いちいせんしん,一意専心
709,いちいたいすい,一衣帯水
710,いちいんせい,一院制
711,いちいち,いちいち
712,いちえいいちじょく,一栄一辱
713,いちえんきぎょう,一円起業
714,いちおう,一応
715,いちおくそうざんげ,一億総ざんげ
716,いちおし,一押し
717,いちがいに,一概に
718,いちかけるにはに,「１×２＝２」
719,いちがつからさんがつ,１月から３月
720,いちがっき,一学期
721,いちがつさんがつ,１月～３月
722,いちかばちか,いちかばちか
723,いちからじゅう,一から十
724,いちからじゅう,１から１０
725,いちぎゅうめいち,一牛鳴地
726,いちぐん,１軍
727,いちぐん,一軍
728,いちげつさんしゅう,一月三舟
729,いちげん,いちげん
730,いちげん,一言
731,いちげんこじ,一言居士
732,いちご,イチゴ
733,いちご,１語
734,いちご,一語
735,いちごん,一言
736,いちごんはんく,一言半句
737,いちごいちえ,一期一会
738,いちさんがつ,１～３月
739,いちじ,1次
740,いちじ,一次
741,いちじ,一事
742,いちじせんきん,一字千金
743,いちじつきゅうせん,一日九遷
744,いちじつさんしゅう,一日三秋
745,いちじつのちょう,一日の長
747,いちじめいりゅう,一時名流
748,いちしみん,一市民
749,いちじゅういっさい,一汁一菜
750,いちじゅうまる,「○」
751,いちじゅんめ,１巡目
752,いちじょうこう,１条校
753,いちじょうしゅんむ,一場春夢
754,いちじんかく,一人格
755,いちじんふせん,一塵不染
